                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.52364,                0.49261,                 1.0356,                0.90323,                0.84817,                 0.9034,                0.78813,                0.75032,                0.67293,                  1.257,              0.0004654,              0.0004654,              0.0004654
                     56,                0.52294,                0.48692,                  1.036,                 0.9145,                 0.8212,                0.88108,                0.77506,                0.72508,                0.69508,                 1.2195,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.5401,                0.52397,                 1.0481,                0.92397,                0.87958,                0.92879,                0.78423,                0.83542,                0.61597,                  1.315,              0.0004456,              0.0004456,              0.0004456
                     58,                0.53187,                 0.4967,                 1.0479,                0.94492,                0.87151,                0.93121,                0.80231,                0.71967,                 0.5206,                 1.2007,              0.0004357,              0.0004357,              0.0004357
                     59,                0.51825,                0.49011,                 1.0393,                0.89947,                0.85988,                0.92046,                0.81019,                0.66635,                0.59048,                 1.1635,              0.0004258,              0.0004258,              0.0004258
                     60,                0.51545,                0.46957,                 1.0333,                0.89409,                0.91353,                0.92636,                  0.819,                0.69943,                0.55017,                 1.2156,              0.0004159,              0.0004159,              0.0004159
                     61,                0.50356,                0.46818,                 1.0181,                0.89028,                0.88434,                0.91757,                0.79077,                0.75337,                0.63363,                 1.2365,               0.000406,               0.000406,               0.000406
                     62,                0.50187,                0.46424,                  1.023,                0.92884,                0.87566,                0.91654,                0.79648,                0.64659,                0.65729,                 1.1688,              0.0003961,              0.0003961,              0.0003961
                     63,                0.50896,                0.45209,                 1.0181,                 0.9035,                0.86494,                0.89661,                0.81224,                0.64473,                0.60002,                 1.1627,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.5011,                0.43485,                 1.0238,                0.91261,                0.82173,                0.88728,                0.77459,                0.75775,                0.67831,                 1.2863,              0.0003763,              0.0003763,              0.0003763
                     65,                0.49572,                0.44991,                 1.0154,                0.94149,                0.86351,                0.90714,                 0.8057,                0.63249,                0.61747,                 1.1567,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.4999,                0.45862,                 1.0249,                0.88084,                0.89638,                0.92137,                0.80909,                0.71117,                0.58811,                 1.2251,              0.0003565,              0.0003565,              0.0003565
                     67,                0.49028,                 0.4444,                 1.0141,                0.93077,                0.83607,                0.90586,                0.80615,                0.66857,                0.60592,                 1.1965,              0.0003466,              0.0003466,              0.0003466
